"REF_DATE","GEO","DGUID","North American Product Classification System (NAPCS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1969-02","Canada","2016A000011124","Total, Industrial product price index (IPPI)","Index, 202001=100","403","units","0","v1230995983","1.1","16.1","","","","1"
"1969-03","Canada","2016A000011124","Total, Industrial product price index (IPPI)","Index, 202001=100","403","units","0","v1230995983","1.1","16.1","","","","1"
"1969-04","Canada","2016A000011124","Total, Industrial product price index (IPPI)","Index, 202001=100","403","units","0","v1230995983","1.1","16.1","","","","1"
"1969-05","Canada","2016A000011124","Total, Industrial product price index (IPPI)","Index, 202001=100","403","units","0","v1230995983","1.1","16.1","","","","1"
"1969-06","Canada","2016A000011124","Total, Industrial product price index (IPPI)","Index, 202001=100","403","units","0","v1230995983","1.1","16.2","","","","1"
"1969-07","Canada","2016A000011124","Total, Industrial product price index (IPPI)","Index, 202001=100","403","units","0","v1230995983","1.1","16.1","","","","1"
"1969-08","Canada","2016A000011124","Total, Industrial product price index (IPPI)","Index, 202001=100","403","units","0","v1230995983","1.1","16.1","","","","1"
"1969-09","Canada","2016A000011124","Total, Industrial product price index (IPPI)","Index, 202001=100","403","units","0","v1230995983","1.1","16.2","","","","1"
"1969-10","Canada","2016A000011124","Total, Industrial product price index (IPPI)","Index, 202001=100","403","units","0","v1230995983","1.1","16.2","","","","1"
"1969-11","Canada","2016A000011124","Total, Industrial product price index (IPPI)","Index, 202001=100","403","units","0","v1230995983","1.1","16.3","","","","1"
"1969-12","Canada","2016A000011124","Total, Industrial product price index (IPPI)","Index, 202001=100","403","units","0","v1230995983","1.1","16.4","","","","1"
"1970-01","Canada","2016A000011124","Total, Industrial product price index (IPPI)","Index, 202001=100","403","units","0","v1230995983","1.1","16.6","","","","1"
"1970-02","Canada","2016A000011124","Total, Industrial product price index (IPPI)","Index, 202001=100","403","units","0","v1230995983","1.1","16.7","","","","1"
"1970-03","Canada","2016A000011124","Total, Industrial product price index (IPPI)","Index, 202001=100","403","units","0","v1230995983","1.1","16.8","","","","1"
"1970-04","Canada","2016A000011124","Total, Industrial product price index (IPPI)","Index, 202001=100","403","units","0","v1230995983","1.1","16.8","","","","1"
"1970-05","Canada","2016A000011124","Total, Industrial product price index (IPPI)","Index, 202001=100","403","units","0","v1230995983","1.1","16.8","","","","1"
"1970-06","Canada","2016A000011124","Total, Industrial product price index (IPPI)","Index, 202001=100","403","units","0","v1230995983","1.1","16.6","","","","1"
"1970-07","Canada","2016A000011124","Total, Industrial product price index (IPPI)","Index, 202001=100","403","units","0","v1230995983","1.1","16.5","","","","1"
"1970-08","Canada","2016A000011124","Total, Industrial product price index (IPPI)","Index, 202001=100","403","units","0","v1230995983","1.1","16.4","","","","1"
"1970-09","Canada","2016A000011124","Total, Industrial product price index (IPPI)","Index, 202001=100","403","units","0","v1230995983","1.1","16.4","","","","1"
"1970-10","Canada","2016A000011124","Total, Industrial product price index (IPPI)","Index, 202001=100","403","units","0","v1230995983","1.1","16.5","","","","1"
"1970-11","Canada","2016A000011124","Total, Industrial product price index (IPPI)","Index, 202001=100","403","units","0","v1230995983","1.1","16.5","","","","1"
"1970-12","Canada","2016A000011124","Total, Industrial product price index (IPPI)","Index, 202001=100","403","units","0","v1230995983","1.1","16.5","","","","1"
"1971-01","Canada","2016A000011124","Total, Industrial product price index (IPPI)","Index, 202001=100","403","units","0","v1230995983","1.1","16.7","","","","1"
"1971-02","Canada","2016A000011124","Total, Industrial product price index (IPPI)","Index, 202001=100","403","units","0","v1230995983","1.1","16.8","","","","1"
"1971-03","Canada","2016A000011124","Total, Industrial product price index (IPPI)","Index, 202001=100","403","units","0","v1230995983","1.1","16.8","","","","1"
"1971-04","Canada","2016A000011124","Total, Industrial product price index (IPPI)","Index, 202001=100","403","units","0","v1230995983","1.1","16.8","","","","1"
"1971-05","Canada","2016A000011124","Total, Industrial product price index (IPPI)","Index, 202001=100","403","units","0","v1230995983","1.1","16.8","","","","1"
"1971-06","Canada","2016A000011124","Total, Industrial product price index (IPPI)","Index, 202001=100","403","units","0","v1230995983","1.1","16.8","","","","1"
"1971-07","Canada","2016A000011124","Total, Industrial product price index (IPPI)","Index, 202001=100","403","units","0","v1230995983","1.1","17.0","","","","1"
"1971-08","Canada","2016A000011124","Total, Industrial product price index (IPPI)","Index, 202001=100","403","units","0","v1230995983","1.1","17.0","","","","1"
